JCR Title;Full Title;Year
ACTA CARDIOL SIN;Acta Cardiologica Sinica;2019
ACTA CHIR ORTHOP TR;Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;2012
ACTA CHIR ORTHOP TR;Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;2011
ACTA CHIR ORTHOP TR;Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;2010
ACTA GEODYN GEOMATER;Acta Geodynamica et Geomaterialia;2012
ACTA GEOL SIN-ENGL;Acta Geologica Sinica-English Edition;2018
ACTA ORTOP BRAS;Acta Ortopedica Brasileira;2012
ACTA PETROL SIN;ACTA PETROLOGICA SINICA;2011
ACTA PETROL SIN;ACTA PETROLOGICA SINICA;2010
ACTA PETROL SIN;Acta Petrologica Sinica;2008
ACTA PETROL SIN;Acta Petrologica Sinica;2007
ACTA PETROL SIN ;Acta Petrologica Sinica;2009
ACTA VET-BEOGRAD;Acta Veterinaria-Beograd;2016
ACT ADAPT AGING;Activities Adaptation & Aging;2023
ADICCIONES;Adicciones;2019
ADV APPL DISCRET MAT;Advances and Applications in Discrete Mathematics;2024
AEROSOL AIR QUAL RES;Aerosol and Air Quality Research;2012
AEROSOL AIR QUAL RES;Aerosol and Air Quality Research;2019
AFR J BUS MANAGE;African Journal of Business Management;2010
AGING MALE;Aging Male;2019
AGR ECON-CZECH;Agricultural Economics-Zemedelska Ekonomika;2012
AGR ECON-CZECH;Agricultural Economics-Zemedelska Ekonomika;2011
AGR ECON-CZECH;Agricultural Economics-Zemedelska Ekonomika;2010
AM J PHARM EDUC;American Journal of Pharmaceutical Education;2012
AMFITEATRU ECON;Amfiteatru Economic;2014
ANAL QUANT CYTOL;Analytical and Quantitative Cytology and Histology;2008
ANAL QUANT CYTOL ;Analytical and Quantitative Cytology and Histology;2009
ANAT SCI EDUC;Anatomical Sciences Education;2012
ANAT SCI EDUC;Anatomical Sciences Education;2011
ANAT SCI EDUC;Anatomical Sciences Education;2013
ANAT SCI EDUC;Anatomical Sciences Education;2014
ANN AGR ENV MED;Annals of Agricultural and Environmental Medicine;2013
ANN FINANC ECON;Annals of Financial Economics;2023
ANN PHYTOMEDICINE;Annals of Phytomedicine-an International Journal;2024
APPL CLIN INFORM;Applied Clinical Informatics;2015
APPL INTELL;Applied Intelligence;2013
APPL INTELL;Applied Intelligence;2014
APPL ORGANOMET CHEM;Applied Organometallic Chemistry;2024
AQUACULT ECON MANAG;AQUACULTURE ECONOMICS & MANAGEMENT;2017
AQUACULT ECON MANAG;Aquaculture Economics & Management;2016
ARAB J SCI ENG;Arabian Journal for Science and Engineering;2014
ARAB J GEOSCI;Arabian Journal of Geosciences;2015
ARCH BUDO;Archives of Budo;2017
ARCH METALL MATER;Archives of Metallurgy and Materials;2015
ARCH MIN SCI;Archives of Mining Sciences;2014
ARCH BRONCONEUMOL;ARCHIVOS DE BRONCONEUMOLOGIA;2011
ARCH BRONCONEUMOL;ARCHIVOS DE BRONCONEUMOLOGIA;2010
ARCH LATINOAM NUTR;Archivos Latinoamericanos de Nutricion;2020
ASIAN J AGR BIOL;Asian Journal of Agriculture and Biology;2024
ASIAN J CONTROL;Asian Journal of Control;2013
ASIAN AUSTRAL J ANIM;Asian-Australasian Journal of Animal Sciences;2008
ASIAN AUSTRAL J ANIM ;Asian-Australasian Journal of Animal Sciences;2009
AUST J POLIT SCI;Australian Journal of Political Science;2015
BALK J GEOM APPL;Balkan Journal of Geometry and Its Applications;2011
BALK J GEOM APPL;Balkan Journal of Geometry and Its Applications;2010
BEHAV ANALYST;Behavior Analyst;2013
BIOINSPIR BIOMIM NAN;Bioinspired Biomimetic and Nanobiomaterials;2022
BIOSCI RES;Bioscience Research;2022
BODY IMAGE;Body Image;2019
BOL SOC ESP CERAM B;Boletin de la Sociedad Espanola de Ceramica y Vidrio;2007
BONE RES;Bone Research;2018
BUILD RES INF;Building Research and Information;2008
BUILD RES INF;Building Research and Information;2007
B INDONES ECON STUD;Bulletin of Indonesian Economic Studies;2014
BUS ETHICS;Business Ethics;2019
BUS LAWYER;Business Lawyer;2013
BUS LAWYER;Business Lawyer;2014
CAN HIST REV;CANADIAN HISTORICAL REVIEW;2017
CAN HIST REV;Canadian Historical Review;2016
CELL TRANSPLANT;CELL TRANSPLANTATION;2011
CELL CHEM TECHNOL;Cellulose Chemistry and Technology;2019
CENT EUR J CHEM;Central European Journal of Chemistry;2014
CEREAL RES COMMUN;Cereal Research Communications;2008
CEREAL RES COMMUN ;Cereal Research Communications;2009
CHEM METHODOL;Chemical Methodologies;2024
CHIN J MECH ENG-EN;Chinese Journal of Mechanical Engineering;2017
CLEAN TECHNOL ENVIR;Clean Technologies and Environmental Policy;2015
CLIM CHANG ECON;Climate Change Economics;2023
CLIN HEMORHEOL MICRO;Clinical Hemorheology and Microcirculation;2012
CLIN HEMORHEOL MICRO;Clinical Hemorheology and Microcirculation;2024
CLINICS;Clinics;2012
CMES-COMP MODEL ENG;CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES;2010
CMES-COMP MODEL ENG;CMES-Computer Modeling in Engineering & Sciences;2009
CNS NEUROL DISORD-DR;CNS & Neurological Disorders-Drug Targets;2019
CUAD ECON-SPAIN;Cuadernos de Economia - Spain;2023
CURR GENET;Current Genetics;2019
CYTOJOURNAL;CytoJournal;2013
CYTOJOURNAL;CytoJournal;2014
DENT MATER J;Dental Materials Journal;2007
DEUT Z SPORTMED;DEUTSCHE ZEITSCHRIFT FUR SPORTMEDIZIN;2010
DEUT Z SPORTMED;Deutsche Zeitschrift fur Sportmedizin;2009
DIGEST DIS;DIGESTIVE DISEASES;2017
ELECTR POW COMPO SYS;Electric Power Components and Systems;2014
EMERG MARK FINANC TR;Emerging Markets Finance and Trade;2014
ENERG EXPLOR EXPLOIT;Energy Exploration & Exploitation;2012
ENERG EXPLOR EXPLOIT;ENERGY EXPLORATION & EXPLOITATION;2011
ENG TECHNOL APPL SCI;Engineering Technology & Applied Science Research;2023
ENTERP INF SYST-UK;Enterprise Information Systems;2013
ENTERP INF SYST-UK;Enterprise Information Systems;2014
ENVIRON EARTH SCI;Environmental Earth Sciences;2015
ENVIRON ENG MANAG J;Environmental Engineering and Management Journal;2019
ENVIRON SCI POLLUT R;Environmental Science and Pollution Research;2023
EURASIA J MATH SCI T;Eurasia Journal of Mathematics Science and Technology Education;2017
EUR J INFLAMM;European Journal of Inflammation;2012
EUR J HIST ECON THOU;European Journal of the History of Economic Thought;2017
EXPLOR ANIM MED RES;Exploratory Animal and Medical Research;2023
FISH SHELLFISH IMMUN;Fish & Shellfish Immunology;2019
FLUORIDE;Fluoride;2008
FLUORIDE ;Fluoride;2009
FOLIA PHONIATR LOGO;Folia Phoniatrica et Logopaedica;2008
FOLIA PHONIATR LOGO ;Folia Phoniatrica et Logopaedica;2009
FOOD AGR IMMUNOL;Food and Agricultural Immunology;2019
FOOD SCI BIOTECHNOL;Food Science and Biotechnology;2008
FOOD SCI BIOTECHNOL ;Food Science and Biotechnology;2009
FORENSIC SCI INT-GEN;Forensic Science International-Genetics;2019
FORENSIC TOXICOL;Forensic Toxicology;2014
FORENSIC TOXICOL;Forensic Toxicology;2015
FOUND SCI;Foundations of Science;2012
FOUND SCI;Foundations of Science;2013
GAZZ MED ITAL ARCH S;Gazzetta Medica Italiana Archivio per le Scienze Mediche;2023
GEMS GEMOL;Gems & Gemology;2012
GEMS GEMOL;GEMS & GEMOLOGY;2011
GENET RESOUR CROP EV;Genetic Resources and Crop Evolution;2024
GENETIKA-BELGRADE;Genetika-Belgrade;2022
GEOMAGN AERONOMY+;GEOMAGNETISM AND AERONOMY;2011
GEOMAGN AERONOMY+;GEOMAGNETISM AND AERONOMY;2010
GEOMAGN AERONOMY+;Geomagnetism and Aeronomy;2008
GEOMAGN AERONOMY+ ;Geomagnetism and Aeronomy;2009
GEOSYNTH INT;Geosynthetics International;2008
GEOSYNTH INT ;Geosynthetics International;2009
GEOTEXT GEOMEMBRANES;Geotextiles and Geomembranes;2014
GEROSCIENCE;GeroScience;2019
GRANULAR COMPUT;Granular Computing;2023
HELL J CARDIOL;Hellenic Journal of Cardiology;2020
HISPANIA-J DEV INTER;Hispania-A Journal Devoted to the Teaching of Spanish and Portuguese;2018
HIST ECON IDEAS;History of Economic Ideas;2017
HOMEOPATHY;Homeopathy;2015
HUM FACTOR ERGON MAN;Human Factors and Ergonomics in Manufacturing & Service Industries;2014
IEEE T APPL SUPERCON;IEEE Transactions on Applied Superconductivity;2019
IEEE T IND INFORM;IEEE Transactions on Industrial Informatics;2014
IET POWER ELECTRON;IET Power Electronics;2015
INDIAN J BIOCHEM BIO;Indian Journal of Biochemistry & Biophysics;2024
INDIAN J EXP BIOL;Indian Journal of Experimental Biology;2016
INDIAN J PHYS;Indian Journal of Physics;2013
INDOOR BUILT ENVIRON;Indoor and Built Environment;2012
IND TEXTILA;Industria Textila;2019
IND MANAGE DATA SYST;Industrial Management & Data Systems;2007
INFORM SCIENCES;Information Sciences;2023
INFORM TECHNOL MANAG;Information Technology & Management;2014
INSUR MATH ECON;Insurance Mathematics & Economics;2013
INTERLEND DOC SUPPLY;Interlending & Document Supply;2014
INT APPL MECH+;International Applied Mechanics;2008
INT APPL MECH+;International Applied Mechanics;2007
INT APPL MECH+ ;International Applied Mechanics;2009
INT ENTREP MANAG J;International Entrepreneurship and Management Journal;2013
INT J AGRIC BIOL;International Journal of Agriculture and Biology;2014
INT J AM LINGUIST;INTERNATIONAL JOURNAL OF AMERICAN LINGUISTICS;2017
INT J APPL MECH;International Journal of Applied Mechanics;2017
INT J CIV ENG;International Journal of Civil Engineering;2017
INT J CIV ENG;International Journal of Civil Engineering;2018
INT J CLIN EXP HYP;International Journal of Clinical and Experimental Hypnosis;2012
INT J COMMUN SYST;International Journal of Communication Systems;2014
INT J COMPUT INT SYS;International Journal of Computational Intelligence Systems;2012
INT J COMPUT INT SYS;International Journal of Computational Intelligence Systems;2011
INT J CRASHWORTHINES;International Journal of Crashworthiness;2012
INT J ELEC POWER;International Journal of Electrical Power & Energy Systems;2013
INT J ELEC POWER;International Journal of Electrical Power & Energy Systems;2014
INT J ELECTROCHEM SC;International Journal of Electrochemical Science;2012
INT J ENGINE RES;International Journal of Engine Research;2020
INT J ENG EDUC;INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION;2010
INT J ENG EDUC;International Journal of Engineering Education;2009
INT J ENVIRON RES;International Journal of Environmental Research;2013
INT J IMMUNOPATH PH;International Journal of Immunopathology and Pharmacology;2012
INT J INF TECH DECIS;International Journal of Information Technology & Decision Making;2012
INT J INF TECH DECIS;INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING;2011
INT J INNOV COMPUT I;International Journal of Innovative Computing Information and Control;2011
INT J MACH LEARN CYB;International Journal of Machine Learning and Cybernetics;2014
INT J MED MUSHROOMS;International Journal of Medicinal Mushrooms;2019
INT J MOB COMMUN;International Journal of Mobile Communications;2012
INT J MOB COMMUN;International Journal of Mobile Communications;2011
INT J MOB COMMUN;International Journal of Mobile Communications;2016
INT J MOB COMMUN;International Journal of Mobile Communications;2018
INT J PHOTOENERGY;International Journal of Photoenergy;2013
INT J POLYM ANAL CH;International Journal of Polymer Analysis and Characterization;2016
INT J PROD ECON;International Journal of Production Economics;2013
INT J SENS NETW;International Journal of Sensor Networks;2012
INT J SENS NETW;International Journal of Sensor Networks;2013
INT J SUST DEV WORLD;International Journal of Sustainable Development and World Ecology;2014
INT J WAVELETS MULTI;International Journal of Wavelets Multiresolution and Information Processing;2012
INT J WAVELETS MULTI;International Journal of Wavelets Multiresolution and Information Processing;2011
INT REV ELECTR ENG-I;International Review of Electrical Engineering-IREE;2012
INT REV ELECTR ENG-I;International Review of Electrical Engineering-IREE;2011
IRAN J FUZZY SYST;Iranian Journal of Fuzzy Systems;2012
IRAN J FUZZY SYST;Iranian Journal of Fuzzy Systems;2013
IRISH POLIT STUD;Irish Political Studies;2012
IRISH POLIT STUD;Irish Political Studies;2011
JORDAN J MECH IND EN;Jordan Journal of Mechanical and Industrial Engineering;2024
J BRAS PNEUMOL;Jornal Brasileiro de Pneumologia;2012
J ANAL PSYCHOL;Journal of Analytical Psychology;2012
J ANAL PSYCHOL;JOURNAL OF ANALYTICAL PSYCHOLOGY;2011
J ANAL PSYCHOL;JOURNAL OF ANALYTICAL PSYCHOLOGY;2010
J APPL FLUID MECH;Journal of Applied Fluid Mechanics;2016
J APPL GEOPHYS;Journal of Applied Geophysics;2018
J BIOBASED MATER BIO;Journal of Biobased Materials and Bioenergy;2018
J BIOL REG HOMEOS AG;Journal of Biological Regulators and Homeostatic Agents;2012
J BIOMED NANOTECHNOL;Journal of Biomedical Nanotechnology;2018
J BIOMOL STRUCT DYN;Journal of Biomolecular Structure & Dynamics;2012
J BIOMOL STRUCT DYN;JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS;2011
J BIOMOL STRUCT DYN;Journal of Biomolecular Structure & Dynamics;2019
J BIOMOL STRUCT DYN;Journal of Biomolecular Structure and Dynamics;2020
J CARDIAC SURG;Journal of Cardiac Surgery;2018
J CERAM PROCESS RES;Journal of Ceramic Processing Research;2016
J COMPUT INFORM SYST;Journal of Computer Information Systems;2008
J COMPUT INFORM SYST ;Journal of Computer Information Systems;2009
J CONSUM PSYCHOL;Journal of Consumer Psychology;2012
J CONSUM PSYCHOL;JOURNAL OF CONSUMER PSYCHOLOGY;2011
J DATABASE MANAGE;Journal of Database Management;2012
J EARTHQ TSUNAMI;Journal of Earthquake and Tsunami;2024
J ELECTROMAGNET WAVE;Journal of Electromagnetic Waves and Applications;2012
J ENHANC HEAT TRANSF;Journal of Enhanced Heat Transfer;2020
J ENVIRON ENG GEOPH;Journal of Environmental and Engineering Geophysics;2019
J ENVIRON BIOL;JOURNAL OF ENVIRONMENTAL BIOLOGY;2010
J ENVIRON BIOL;Journal of Environmental Biology;2009
J FAM ECON ISS;Journal of Family and Economic Issues;2020
J FAM STUD;Journal of Family Studies;2012
J FAM STUD;Journal of Family Studies;2011
J FUSION ENERG;Journal of Fusion Energy;2015
J GEOPHYS ENG;Journal of Geophysics and Engineering;2018
J HYDRODYN;Journal of Hydrodynamics;2012
J HYDRODYN;Journal of Hydrodynamics;2011
J INFRARED MILLIM W ;Journal of Infrared and Millimeter Waves;2009
J INFRARED MILLIM W ;Journal of Infrared and Millimeter Waves;2008
J INTELL FUZZY SYST;Journal of Intelligent & Fuzzy Systems;2020
J LOW FREQ NOISE V A;Journal of Low Frequency Noise Vibration and Active Control;2018
J MANUF SCI E-T ASME;Journal of Manufacturing Science and Engineering-Transactions of the ASME;2015
J MARITAL FAM THER;Journal of Marital and Family Therapy;2016
J MARITAL FAM THER;Journal of Marital and Family Therapy;2015
J MED BIOCHEM;Journal of Medical Biochemistry;2019
J MED SYST;Journal of Medical Systems;2015
J MICROBIOL BIOTECHN ;Journal of Microbiology and Biotechnology;2009
J MICROBIOL BIOTECHN ;Journal of Microbiology and Biotechnology;2008
J MIND MED SCI;Journal of Mind and Medical Sciences;2024
J NON-EQUIL THERMODY;Journal of Non-Equilibrium Thermodynamics;2015
J NONLINEAR OPT PHYS;Journal of Nonlinear Optical Physics & Materials;2018
J PARALLEL DISTR COM;Journal of Parallel and Distributed Computing;2012
J PHYS THER SCI;Journal of Physical Therapy Science;2015
J PLANT INTERACT;Journal of Plant Interactions;2014
J POLITENESS RES-LAN;Journal of Politeness Research-Language Behaviour Culture;2015
J REAL ESTATE RES;Journal of Real Estate Research;2014
J SEISM EXPLOR;Journal of Seismic Exploration;2018
J AUDIO ENG SOC;Journal of the Audio Engineering Society;2013
J CHEM SOC PAKISTAN;Journal of the Chemical Society of Pakistan;2012
J CHIN SOC MECH ENG;Journal of the Chinese Society of Mechanical Engineers;2011
J CHIN SOC MECH ENG;Journal of the Chinese Society of Mechanical Engineers;2010
J HIST ECON THOUGHT;Journal of the History of Economic Thought;2017
J KOREAN PHYS SOC ;Journal of the Korean Physical Society;2009
J KOREAN PHYS SOC ;Journal of the Korean Physical Society;2008
J SAUDI CHEM SOC;Journal of the Saudi Chemical Society;2013
J THEOR COMPUT CHEM;Journal of Theoretical & Computational Chemistry;2013
J TRAVEL TOUR MARK;Journal of Travel & Tourism Marketing;2012
J TRAVEL TOUR MARK;Journal of Travel & Tourism Marketing;2011
J VIB CONTROL;Journal of Vibration and Control;2014
J VISUAL-JAPAN;JOURNAL OF VISUALIZATION;2010
J VISUAL-JAPAN;Journal of Visualization;2009
J VOICE;JOURNAL OF VOICE;2017
JPC-J PLANAR CHROMAT;JPC-Journal of Planar Chromatography-Modern TLC;2014
KLIN PADIATR;Klinische Padiatrie;2013
KNOWL INF SYST;Knowledge and Information Systems;2012
KOREAN J MET MATER;Korean Journal of Metals and Materials;2016
KOVOVE MATER ;Kovove Materialy-Metallic;2009
KOVOVE MATER ;Kovove Materialy-Metallic;2008
LABOUR HIST-AUST;Labour History;2012
LANG LIT;Language and Literature;2012
LANG LIT;Language and Literature;2011
LANG CULT CURRIC;Language Culture and Curriculum;2014
LASER PART BEAMS;LASER AND PARTICLE BEAMS;2010
LASER PART BEAMS;Laser and Particle Beams;2009
LAW LIBR J;Law Library Journal;2012
LAW LIBR J;LAW LIBRARY JOURNAL;2011
LAW LIBR J;Law Library Journal;2013
LEXIKOS;Lexikos;2012
LEXIKOS;Lexikos;2011
LIBR HI TECH;Library Hi Tech;2023
LIQ CRYST;Liquid Crystals;2020
LISTY CUKROV REPAR;Listy Cukrovarnicke a Reparske;2012
LISTY CUKROV REPAR;LISTY CUKROVARNICKE A REPARSKE;2011
LISTY CUKROV REPAR;LISTY CUKROVARNICKE A REPARSKE;2010
LIVER CANCER;Liver Cancer;2017
LOBACHEVSKII J MATH;Lobachevskii Journal of Mathematics;2024
MANAGE DECIS;Management Decision;2013
MANKIND QUART;MANKIND QUARTERLY;2011
MAR BIOTECHNOL;Marine Biotechnology;2019
MARIT POLICY MANAG;Maritime Policy & Management;2017
MARIT POLICY MANAG;Maritime Policy & Management;2018
MARKETING THEOR;Marketing Theory;2022
MATER PLAST;MATERIALE PLASTICE;2010
MATER PLAST;Materiale Plastice;2009
MATER EXPRESS;Materials Express;2020
MECH BASED DES STRUC;Mechanics Based Design of Structures and Machines;2020
MECH ADV MATER STRUC;Mechanics of Advanced Materials and Structures;2024
MECHANIKA;Mechanika;2012
MECHANIKA;Mechanika;2011
MEDIA EDUC-RUSS;Media Education-Mediaobrazovanie;2024
MED SCI MONITOR;MEDICAL SCIENCE MONITOR;2011
MED CHEM RES;Medicinal Chemistry Research;2013
METHOD INFORM MED;Methods of Information in Medicine;2015
MICROBES ENVIRON;Microbes and Environments;2019
MICROSURG;Microsurgery;2014
MINERVA MED;Minerva Medica;2023
MLJEKARSTVO;Mljekarstvo;2011
MLJEKARSTVO;Mljekarstvo;2010
MOB INF SYST;Mobile Information Systems;2012
NANOSCI NANOTECH LET;Nanoscience and Nanotechnology Letters;2018
NEW CARBON MATER;New Carbon Materials;2007
NEW CARBON MATER ;New Carbon Materials;2009
NEW CARBON MATER ;New Carbon Materials;2008
N AM J ECON FINANC;North American Journal of Economics and Finance;2014
NUCL TECHNOL RADIAT;Nuclear Technology & Radiation Protection;2013
NURS SCI QUART;Nursing Science Quarterly;2012
NURS SCI QUART;NURSING SCIENCE QUARTERLY;2011
NURS SCI QUART;NURSING SCIENCE QUARTERLY;2010
OCHR SR;Ochrona Srodowiska;2012
OFIOLITI;Ofioliti;2012
ONCOLOGY-BASEL;ONCOLOGY;2017
ORAL HIST REV;Oral History Review;2016
ORGAN ENVIRON;Organization & Environment;2014
PAIN PHYSICIAN;Pain Physician;2012
PAK J ZOOL;Pakistan Journal of Zoology;2019
PAK VET J;Pakistan Veterinary Journal;2014
PANMINERVA MED;Panminerva Medica;2023
PEDIATR DENT;PEDIATRIC DENTISTRY;2017
PEDOSPHERE;Pedosphere;2007
PERSOONIA;PERSOONIA;2010
PERSOONIA;Persoonia;2009
PERSPECT EDUC;Perspectives in Education;2012
PERSPECT EDUC;PERSPECTIVES IN EDUCATION;2011
PETROL EXPLOR DEV+;Petroleum Exploration and Development;2013
PHYS MESOMECH;Physical Mesomechanics;2012
PHYS MESOMECH;Physical Mesomechanics;2011
PHYS MESOMECH;Physical Mesomechanics;2010
PHYS MED REHAB KUROR;Physikalische Medizin Rehabilitationsmedizin Kurortmedizin;2008
PHYS MED REHAB KUROR;Physikalische Medizin Rehabilitationsmedizin Kurortmedizin;2007
PLANT BIOSYST;Plant Biosystems;2013
PLANTA DANINHA;Planta Daninha;2012
PLANTA DANINHA;Planta Daninha;2011
PLANTA DANINHA;Planta Daninha;2010
POLIMERY-W;POLIMERY;2011
POLIMERY-W;POLIMERY;2010
POLIMERY-W ;Polimery;2009
POLIMERY-W ;Polimery;2008
POLYM-PLAST TECHNOL;Polymer Plastics Technology and Engineering;2013
POLYM-PLAST TECHNOL;Polymer Plastics Technology and Engineering;2014
POSTEP DERM ALERGOL;Postepy Dermatologii I Alergologii;2013
PROBL EKOROZW;Problemy Ekorozwoju;2012
PROG BIOCHEM BIOPHYS;Progress in Biochemistry and Biophysics;2012
PROG ELECTROMAGN RES;Progress in Electromagnetics Research-PIER;2012
PROG ELECTROMAGN RES;Progress in Electromagnetics Research-PIER;2013
PSYCHOANAL QUART;PSYCHOANALYTIC QUARTERLY;2017
PSYCHOGERIATRICS;Psychogeriatrics;2011
PSYCHOGERIATRICS;Psychogeriatrics;2010
PUNJAB UNIV J MATH;Punjab University Journal of Mathematics;2024
REG STAT;Regional Statistics;2023
REGUL CHAOTIC DYN;Regular & Chaotic Dynamics;2015
REJUV RES;Rejuvenation Research;2019
RESOUR POLICY;Resources Policy;2023
REV BRAS FARMACOGN;Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy;2011
REV BRAS FARMACOGN;Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy;2010
REV BRAS ZOOTECN;Revista Brasileira de Zootecnia-Brazilian Journal of Animal Science;2012
REV BRAS ZOOTECN;REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE;2011
REV CIENC AGRON;Revista Ciencia Agronomica;2011
REV CIENC AGRON;Revista Ciencia Agronomica;2010
REV CLIN ESP;Revista Clinica Espanola;2012
REV ASSOC MED BRAS;Revista da Associacao Medica Brasileira;2012
REV LAT-AM ENFERM;Revista Latino-Americana de Enfermagem;2013
ROFO-FORTSCHR RONTG;ROFO-Fortschritte auf dem Gebiet der Rontgenstrahlen und der Bildgebenden Verfahren ;2012
RUSS CHEM B+;Russian Chemical Bulletin;2024
RUSS J PHYS CHEM B+;Russian Journal of Physical Chemistry B;2024
RYNEK ENERGII;Rynek Energii;2011
RYNEK ENERGII;Rynek Energii;2010
SCHOOL PSYCHOL INT;School Psychology International;2012
SCHOOL PSYCHOL INT;School Psychology International;2013
SCI CHINA LIFE SCI;Science China-Life Sciences;2012
SERV IND J;Service Industries Journal;2013
SOCAR PROC;SOCAR Proceedings;2023
SOILS FOUND;Soils and Foundations;2014
S AFR J HUM RIGHTS;South African Journal on Human Rights;2011
S AFR J HUM RIGHTS;South African Journal on Human Rights;2010
SPECTROSC SPECT ANAL;SPECTROSCOPY AND SPECTRAL ANALYSIS;2011
SPECTROSC SPECT ANAL;SPECTROSCOPY AND SPECTRAL ANALYSIS;2010
SPECTROSC SPECT ANAL ;Spectroscopy and Spectral Analysis ;2009
SPECTROSC SPECT ANAL ;Spectroscopy and Spectral Analysis ;2008
STAND GENOMIC SCI;Standards in Genomic Sciences;2014
SYST RES BEHAV SCI;Systems Research and Behavioral Science;2013
SYST RES BEHAV SCI;Systems Research and Behavioral Science;2014
TEACH SOCIOL;Teaching Sociology;2012
TEACH SOCIOL;TEACHING SOCIOLOGY;2011
TEACH SOCIOL;TEACHING SOCIOLOGY;2010
TEMA;Tema-Journal of Land Use Mobility and Environment;2024
THESCIENTIFICWORLDJO;TheScientificWorldJOURNAL;2011
TISSUE ENG REGEN MED;Tissue Engineering and Regenerative Medicine;2011
TISSUE ENG REGEN MED;Tissue Engineering and Regenerative Medicine;2010
TOTAL QUAL MANAG BUS;Total Quality Management & Business Excellence;2013
TRAIN EDUC PROF PSYC;Training and Education in Professional Psychology;2018
T FAMENA;Transactions of FAMENA;2024
T I MET FINISH;Transactions of the Institute of Metal Finishing;2012
T EMERG TELECOMMUN T;Transactions on Emerging Telecommunications Technologies;2014
TRANSL STROKE RES;Translational Stroke Research;2016
TRANSPORT-VILNIUS;Transport;2011
TRANSPORT-VILNIUS;Transport;2010
TROP ECOL;Tropical Ecology;2016
TURK J BOT;Turkish Journal of Botany;2013
TURK J BOT;Turkish Journal of Botany;2014
UKR J PHYS OPT;Ukrainian Journal of Physical Optics;2023
VESTN ST PETER U-MAT;Vestnik St Petersburg University-Mathematics;2024
VIDEOSURGERY MINIINV;Videosurgery and Other Miniinvasive Techniques;2014
XENOTRANSPLANTATION;Xenotransplantation;2019
Z ARB ORGAN;ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE;2011
Z ARB ORGAN;ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE;2010
Z PADAGOG PSYCHOL;Zeitschrift fur Padagogische Psychologie;2012
Z PADAGOG PSYCHOL;ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE;2011
Z PSYCHIATR PSYCH PS;Zeitschrift fur Psychiatrie Psychologie und Psychotherapie;2013
Z PSYCHOSOM MED PSYC;Zeitschrift fur Psychosomatische Medizin und Psychotherapie;2013
